ID,NAME,STATE,STATUS,POSTALCODE,IDSAP,DISTRIBUTOR,CITY,BILLINGLATITUDE,BILLINGLONGITUDE,TYPE,litDem
0010900001qWfZ9AAK,Bodega el Bierzo,VALLADOLID,En Desarrollo Activo,47003,8100410342,D-0059,VALLADOLID,41.657982,-4.729464,Account,582
0010900001mrfhzAAA,BAR CAFETERIA YANIZ,BARCELONA,En Desarrollo Activo,8041,8100197093,,BARCELONA,41.422246,2.178659,Account,710
0010900001mrfu7AAA,PEPS,BARCELONA,,8358,8100268874,,ARENYS DE MUNT,41.609,2.539912,Account,645
0010900001vp82DAAQ,MILAN CAFE,ALBACETE,,2001,8100129721,,ALBACETE,38.995415,-1.853187,Account,1361
0010900001vp8l5AAA,BAR CENTRO SOCIAL SAN JUAN,ALBACETE,En Desarrollo Activo,2640,8100197386,,ALMANSA,38.870388,-1.093432,Account,471
0010900001vp7zEAAQ,A CASA RTE (CC) ###,ALBACETE,,2002,8100129137,,ALBACETE,38.992569,-1.852267,Account,1299
0010900001vp7zUAAQ,CAFE BAR CAMPUS,ALBACETE,En Desarrollo Activo,2640,8100197725,,ALMANSA,38.872964,-1.096801,Account,1319
0010900001vp81WAAQ,CAFE CENTRO,ALBACETE,En Desarrollo Activo,2640,8100199115,,ALMANSA,38.832295,-1.110894,Account,1447
0010900001mrfdJAAQ,RICK'APAN,BARCELONA,En Desarrollo Activo,8271,8100182260,,ARTES,41.793475,1.943263,Account,569
0017R00002lAMe8QAG,TAHIR,BARCELONA,En Desarrollo Activo,8870,8100040109,D-0246,SITGES,41.629577,0.633505,Account,1148
0017R00002mgJVwQAM,TERRAZA CREPERIA,ZARAGOZA,En Desarrollo Activo,50700,8100272337,D-0318,CASPE,41.237035,-0.039625,Account,759
0017R00002lAjZOQA0,VIRUXE,OURENSE,En Desarrollo Activo,32000,8100271204,D-0343,VERIN,41.940222,-7.438128,Account,1066
0017R00002mgJWSQA2,BUDHA C.B,CORDOBA,En Desarrollo Activo,14520,8100270739,D-1563,FERNAN NUÑEZ,37.674941,-4.731493,Account,1181
0010900001qWrSsAAK,La chiná Kamikace,VALENCIA,En Desarrollo Activo,46005,8100410308,,VALENCIA,39.462307,-0.369505,Account,996
0017R00002lAG3LQAW,COLEGIO FUNDACIÓN LLOR,BARCELONA,,8830,8100012082,D-0259,SANT BOI DE LLOBREGAT,41.357524,2.028776,Account,938
0017R00002mgUoJQAU,SOHO TENDILLAS,CORDOBA,En Desarrollo Activo,14002,8100366044,,CORDOBA,37.883956,-4.778921,Account,1080
0017R00002lAFB5QAO,DUNE RTE,BARCELONA,En Desarrollo Inactivo,8016,8100006535,D-0259,BARCELONA,41.429853,2.180792,Account,1489
0017R00002lAjVmQAK,BIO COUTO,OURENSE,En Desarrollo Activo,32000,8100270977,D-0343,OURENSE,42.340018,-7.871677,Account,472
0017R00002mgJWyQAM,CAL GATIUS,LLEIDA,En Desarrollo Activo,25100,8100274340,D-0297,ALMACELLAS,41.730648,0.439354,Account,1438
0017R00002lAFZZQA4,VIA FORA,BARCELONA,En Desarrollo Activo,8001,8100009114,D-0259,BARCELONA,41.384467,2.166259,Account,1099
0017R00002mgJT2QAM,BAR EL MOLINO,TERUEL,En Desarrollo Activo,44570,8100268214,D-0318,CALANDA,40.940631,-0.235963,Account,388
0017R00002mgJTEQA2,PIZZERIA WALLY,CADIZ,En Desarrollo Activo,11550,8100267631,D-1781,CHIPIONA,36.739663,-6.430676,Account,1461
0017R00002mgJTVQA2,JARDINES CONSUEGRA,TOLEDO,En Desarrollo Activo,45700,8100262048,D-0107,CONSUEGRA,39.46053,-3.603592,Account,1279
0017R00002mgJYxQAM,BAR LA OFICINA,TERUEL,En Desarrollo Activo,44600,8100283009,D-0318,ALCAÑIZ,41.050562,-0.1303,Account,1113
0017R00002lAjT5QAK,LUCHANA,OURENSE,En Desarrollo Activo,32001,8100270809,D-0343,ORENSE,42.3289,-7.870907,Account,1455
0017R00002mgJU3QAM,BAR LA BOHEMIA,CADIZ,En Desarrollo Activo,11500,8100267054,D-1781,PUERTO DE SANTAMARIA,36.600119,-6.223124,Account,1235
0017R00002lAj95QAC,CAFETERIA NUBE,TARRAGONA,En Desarrollo Activo,43881,8100269443,D-0246,CUNIT,41.194941,1.640691,Account,482
